KO > |Lemmings (World) (Beta).zip
KO > |Lion King, The (Japan).zip
KO > |Lion King, The (USA).zip
KO > |Lion King, The (Europe).zip
OK  > |Lost World, The - Jurassic Park (USA).zip
OK  > |Lucky Dime Caper Starring Donald Duck, The (USA, Europe).zip
KO > |Lunar - Sanposuru Gakuen (Japan).zip
OK  > |Madden 96 (USA, Europe).zip
OK  > |Madden NFL 95 (USA).zip
KO > |Madou Monogatari A - Dokidoki Vacation (Japan).zip
KO > |Madou Monogatari I - 3-Tsu no Madoukyuu (Japan).zip
KO > |Madou Monogatari II - Arle 16-Sai (Japan).zip
KO > |Madou Monogatari III - Kyuukyoku Joou-sama (Japan).zip
KO > |Madou Monogatari III - Kyuukyoku Joou-sama (Japan) (Rev 1).zip
KO > |Magic Knight Rayearth 2 - Making of Magic Knight (Japan).zip
KO > |Magic Knight Rayearth (Japan).zip
OK  > |Magical Puzzle Popils (World) (En,Ja).zip
KO > |Magical Taruruuto-kun (Japan).zip
OK  > |Majors Pro Baseball, The (USA).zip
KO > |Mappy (Japan).zip
OK  > |Marble Madness (USA, Europe).zip
OK  > |Marko's Magic Football (Europe) (En,Fr,De,Es).zip
OK  > |Master of Darkness (Europe).zip
OK  > |Mega Man (USA).zip
KO > |Megami Tensei Gaiden - Last Bible S (Japan).zip
KO > |Megami Tensei Gaiden - Last Bible (Japan).zip
OK  > |Mick & Mack as the Global Gladiators (USA, Europe).zip
KO > |Mickey Mouse Densetsu no Oukoku - Legend of Illusion (Japan).zip
KO > |Mickey Mouse no Castle Illusion (Japan).zip
KO > |Mickey Mouse no Mahou no Crystal (Japan).zip
OK  > |Mickey's Ultimate Challenge (USA).zip
OK  > |Micro Machines 2 - Turbo Tournament (Europe).zip
OK  > |Micro Machines (Europe).zip
OK  > |Mighty Morphin Power Rangers - The Movie (USA, Europe).zip
OK  > |Mighty Morphin Power Rangers (USA, Europe).zip
OK  > |MLBPA Baseball (USA).zip
KO > |Moldorian - Hikari to Yami no Sister (Japan).zip
OK  > |Monster Truck Wars (USA, Europe).zip
KO > |Monster World II - Dragon no Wana (Japan).zip
KO > |Mortal Kombat - Shinken Kourin Densetsu (Japan).zip
OK  > |Mortal Kombat 3 (Europe).zip
OK  > |Mortal Kombat II (World).zip
OK  > |Mortal Kombat (USA, Europe).zip
OK  > |Ms. Pac-Man (USA).zip
KO > |Nazo Puyo 2 (Japan).zip
KO > |Nazo Puyo Arle no Roux (Japan) (Development Edition).zip
KO > |Nazo Puyo Arle no Roux (Japan).zip
KO > |Nazo Puyo (Japan).zip
KO > |Nazo Puyo (Japan) (Rev 1).zip
OK  > |NBA Action Starring David Robinson (USA).zip
OK  > |NBA Jam - Tournament Edition (World).zip
KO > |NBA Jam (Japan).zip
KO > |NBA Jam (USA) (Rev 1).zip
KO > |NBA Jam (USA, Europe).zip
KO > |Neko Daisuki! (Japan).zip
OK  > |NFL '95 (USA).zip
OK  > |NFL Quarterback Club '96 (USA, Europe).zip
OK  > |NFL Quarterback Club (World).zip
OK  > |NHL All-Star Hockey (USA).zip
OK  > |NHL Hockey (USA, Europe).zip
KO > |Ninja Gaiden (Japan).zip
OK  > |Ninja Gaiden (USA, Europe).zip
KO > |Ninku 2 - Tenkuuryuu e no Michi (Japan).zip
KO > |Ninku Gaiden - Hiroyuki Daikatsugeki (Japan).zip
KO > |Ninku (Japan).zip
KO > |Nomo Hideo no World Series Baseball (Japan).zip
